,"gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score",min,median,max,mean/std
856,"male,group B,some college,free/reduced,none,75.0,68.0,65.0","male,group B,some college,free/reduced,none,75.0,68.0,65.0",,,nan/nan
857,"female,group C,bachelor's degree,standard,none,65.0,79.0,81.0","female,group C,bachelor's degree,standard,none,65.0,79.0,81.0",,,nan/nan
858,"male,group B,high school,standard,completed,52.0,49.0,46.0","male,group B,high school,standard,completed,52.0,49.0,46.0",,,nan/nan
859,"male,group C,associate's degree,,none,87.0,73.0,72.0","male,group C,associate's degree,,none,87.0,73.0,72.0",,,nan/nan
860,"female,group C,associate's degree,standard,none,53.0,62.0,53.0","female,group C,associate's degree,standard,none,53.0,62.0,53.0",,,nan/nan
861,",group E,master's degree,free/reduced,none,81.0,86.0,87.0",",group E,master's degree,free/reduced,none,81.0,86.0,87.0",,,nan/nan
862,"male,group D,bachelor's degree,free/reduced,completed,39.0,42.0,38.0","male,group D,bachelor's degree,free/reduced,completed,39.0,42.0,38.0",,,nan/nan
863,"female,group C,some college,standard,completed,71.0,71.0,80.0","female,group C,some college,standard,completed,71.0,71.0,80.0",,,nan/nan
864,"male,group C,associate's degree,standard,none,97.0,93.0,91.0","male,group C,associate's degree,standard,none,97.0,93.0,91.0",,,nan/nan
865,"male,group D,some college,standard,completed,82.0,,88.0","male,group D,some college,standard,completed,82.0,,88.0",,,nan/nan
866,"male,group C,high school,free/reduced,none,59.0,53.0,52.0","male,group C,high school,free/reduced,none,59.0,53.0,52.0",,,nan/nan
867,",group B,associate's degree,standard,none,61.0,42.0,41.0",",group B,associate's degree,standard,none,61.0,42.0,41.0",,,nan/nan
868,"male,group E,associate's degree,free/reduced,completed,78.0,74.0,72.0","male,group E,associate's degree,free/reduced,completed,78.0,74.0,72.0",,,nan/nan
869,"male,group C,associate's degree,free/reduced,none,49.0,51.0,51.0","male,group C,associate's degree,free/reduced,none,49.0,51.0,51.0",,,nan/nan
870,"male,group B,high school,standard,none,59.0,58.0,47.0","male,group B,high school,standard,none,59.0,58.0,47.0",,,nan/nan
871,"female,group C,some college,standard,completed,,72.0,76.0","female,group C,some college,standard,completed,,72.0,76.0",,,nan/nan
872,"male,group B,associate's degree,standard,completed,82.0,84.0,78.0","male,group B,associate's degree,standard,completed,82.0,84.0,78.0",,,nan/nan
873,"male,group E,associate's degree,free/reduced,none,90.0,90.0,82.0","male,group E,associate's degree,free/reduced,none,90.0,90.0,82.0",,,nan/nan
874,",group C,bachelor's degree,free/reduced,none,43.0,62.0,61.0",",group C,bachelor's degree,free/reduced,none,43.0,62.0,61.0",,,nan/nan
875,"male,group C,some college,free/reduced,none,80.0,64.0,66.0","male,group C,some college,free/reduced,none,80.0,64.0,66.0",,,nan/nan
876,"male,group D,some college,standard,none,81.0,82.0,84.0","male,group D,some college,standard,none,81.0,82.0,84.0",,,nan/nan
877,"male,group C,some high school,standard,none,57.0,61.0,54.0","male,group C,some high school,standard,none,57.0,61.0,54.0",,,nan/nan
878,"female,group D,some high school,standard,none,59.0,72.0,80.0","female,group D,some high school,standard,none,59.0,72.0,80.0",,,nan/nan
879,"female,group D,associate's degree,standard,none,64.0,76.0,74.0","female,group D,associate's degree,standard,none,64.0,76.0,74.0",,,nan/nan
880,"male,group C,bachelor's degree,standard,completed,63.0,64.0,66.0","male,group C,bachelor's degree,standard,completed,63.0,64.0,66.0",,,nan/nan
881,"female,group E,,standard,completed,71.0,70.0,70.0","female,group E,,standard,completed,71.0,70.0,70.0",,,nan/nan
882,"female,group B,high school,free/reduced,none,64.0,73.0,71.0","female,group B,high school,free/reduced,none,64.0,73.0,71.0",,,nan/nan
883,",group D,bachelor's degree,,,55.0,46.0,44.0",",group D,bachelor's degree,,,55.0,46.0,44.0",,,nan/nan
884,"female,group E,associate's degree,standard,none,51.0,51.0,54.0","female,group E,associate's degree,standard,none,51.0,51.0,54.0",,,nan/nan
885,"female,group C,associate's degree,standard,completed,,76.0,","female,group C,associate's degree,standard,completed,,76.0,",,,nan/nan
886,"female,group E,associate's degree,standard,completed,93.0,100.0,95.0","female,group E,associate's degree,standard,completed,93.0,100.0,95.0",,,nan/nan
887,"male,group C,high school,free/reduced,none,54.0,72.0,59.0","male,group C,high school,free/reduced,none,54.0,72.0,59.0",,,nan/nan
888,"female,group D,some college,free/reduced,none,69.0,65.0,74.0","female,group D,some college,free/reduced,none,69.0,65.0,74.0",,,nan/nan
889,"male,group D,high school,free/reduced,none,44.0,51.0,48.0","male,group D,high school,free/reduced,none,44.0,51.0,48.0",,,nan/nan
890,"female,group E,some college,standard,completed,86.0,85.0,91.0","female,group E,some college,standard,completed,86.0,85.0,91.0",,,nan/nan
891,"female,group E,associate's degree,standard,none,85.0,92.0,85.0","female,group E,associate's degree,standard,none,85.0,92.0,85.0",,,nan/nan
892,"female,group A,master's degree,free/reduced,none,50.0,67.0,73.0","female,group A,master's degree,free/reduced,none,50.0,67.0,73.0",,,nan/nan
893,"male,group D,some high school,standard,completed,88.0,74.0,75.0","male,group D,some high school,standard,completed,88.0,74.0,75.0",,,nan/nan
894,"female,group E,associate's degree,standard,none,59.0,62.0,69.0","female,group E,associate's degree,standard,none,59.0,62.0,69.0",,,nan/nan
895,"female,group E,some high school,free/reduced,none,32.0,34.0,38.0","female,group E,some high school,free/reduced,none,32.0,34.0,38.0",,,nan/nan
896,"male,group B,high school,free/reduced,none,36.0,29.0,27.0","male,group B,high school,free/reduced,none,36.0,29.0,27.0",,,nan/nan
897,"female,group B,some high school,free/reduced,completed,63.0,,79.0","female,group B,some high school,free/reduced,completed,63.0,,79.0",,,nan/nan
898,"male,group D,associate's degree,standard,completed,67.0,54.0,63.0","male,group D,associate's degree,standard,completed,67.0,54.0,63.0",,,nan/nan
899,"female,group D,some high school,standard,completed,65.0,78.0,82.0","female,group D,some high school,standard,completed,65.0,78.0,82.0",,,nan/nan
900,"male,group D,master's degree,standard,none,85.0,84.0,89.0","male,group D,master's degree,standard,none,85.0,84.0,89.0",,,nan/nan
901,"female,group C,master's degree,standard,none,73.0,78.0,74.0","female,group C,master's degree,standard,none,73.0,78.0,74.0",,,nan/nan
902,"female,group A,high school,free/reduced,completed,34.0,48.0,41.0","female,group A,high school,free/reduced,completed,34.0,48.0,41.0",,,nan/nan
903,",group D,,free/reduced,completed,93.0,100.0,100.0",",group D,,free/reduced,completed,93.0,100.0,100.0",,,nan/nan
904,"female,group D,some high school,free/reduced,none,67.0,84.0,84.0","female,group D,some high school,free/reduced,none,67.0,84.0,84.0",,,nan/nan
905,",group D,some college,standard,none,88.0,77.0,77.0",",group D,some college,standard,none,88.0,77.0,77.0",,,nan/nan
906,"male,group B,high school,standard,none,57.0,48.0,51.0","male,group B,high school,standard,none,57.0,48.0,51.0",,,nan/nan
907,"female,group D,some college,standard,completed,79.0,84.0,91.0","female,group D,some college,standard,completed,79.0,84.0,91.0",,,nan/nan
908,",group C,bachelor's degree,free/reduced,none,,75.0,72.0",",group C,bachelor's degree,free/reduced,none,,75.0,72.0",,,nan/nan
909,"male,group E,bachelor's degree,standard,completed,70.0,64.0,70.0","male,group E,bachelor's degree,standard,completed,70.0,64.0,70.0",,,nan/nan
910,"male,group D,bachelor's degree,free/reduced,none,50.0,42.0,48.0","male,group D,bachelor's degree,free/reduced,none,50.0,42.0,48.0",,,nan/nan
911,"female,group A,,standard,none,69.0,84.0,","female,group A,,standard,none,69.0,84.0,",,,nan/nan
912,"female,group C,bachelor's degree,standard,completed,52.0,61.0,66.0","female,group C,bachelor's degree,standard,completed,52.0,61.0,66.0",,,nan/nan
913,"female,group C,bachelor's degree,free/reduced,completed,,62.0,66.0","female,group C,bachelor's degree,free/reduced,completed,,62.0,66.0",,,nan/nan
914,"female,,associate's degree,free/reduced,none,46.0,61.0,55.0","female,,associate's degree,free/reduced,none,46.0,61.0,55.0",,,nan/nan
915,"female,group E,some college,standard,none,68.0,70.0,","female,group E,some college,standard,none,68.0,70.0,",,,nan/nan
916,"male,group E,bachelor's degree,standard,completed,100.0,100.0,100.0","male,group E,bachelor's degree,standard,completed,100.0,100.0,100.0",,,nan/nan
917,"female,group C,high school,standard,none,44.0,61.0,52.0","female,group C,high school,standard,none,44.0,61.0,52.0",,,nan/nan
918,"female,group C,associate's degree,standard,completed,57.0,77.0,80.0","female,group C,associate's degree,standard,completed,57.0,77.0,80.0",,,nan/nan
919,",group B,some college,standard,,91.0,96.0,91.0",",group B,some college,standard,,91.0,96.0,91.0",,,nan/nan
920,"male,group D,high school,free/reduced,none,,70.0,67.0","male,group D,high school,free/reduced,none,,70.0,67.0",,,nan/nan
921,"female,group C,high school,free/reduced,none,35.0,53.0,46.0","female,group C,high school,free/reduced,none,35.0,53.0,46.0",,,nan/nan
922,"male,group D,high school,standard,none,72.0,66.0,66.0","male,group D,high school,standard,none,72.0,66.0,66.0",,,nan/nan
923,"female,group B,associate's degree,free/reduced,none,54.0,65.0,","female,group B,associate's degree,free/reduced,none,54.0,65.0,",,,nan/nan
924,"male,group D,high school,free/reduced,none,74.0,70.0,69.0","male,group D,high school,free/reduced,none,74.0,70.0,69.0",,,nan/nan
925,"male,group E,,standard,completed,74.0,64.0,60.0","male,group E,,standard,completed,74.0,64.0,60.0",,,nan/nan
926,"male,group E,associate's degree,free/reduced,none,64.0,56.0,52.0","male,group E,associate's degree,free/reduced,none,64.0,56.0,52.0",,,nan/nan
927,"female,group D,high school,free/reduced,completed,65.0,61.0,71.0","female,group D,high school,free/reduced,completed,65.0,61.0,71.0",,,nan/nan
928,"male,group E,associate's degree,free/reduced,completed,46.0,,44.0","male,group E,associate's degree,free/reduced,completed,46.0,,44.0",,,nan/nan
929,"female,group C,some high school,free/reduced,none,48.0,56.0,51.0","female,group C,some high school,free/reduced,none,48.0,56.0,51.0",,,nan/nan
930,"male,group C,some college,free/reduced,completed,67.0,74.0,70.0","male,group C,some college,free/reduced,completed,67.0,74.0,70.0",,,nan/nan
931,"male,group D,some college,free/reduced,none,62.0,57.0,62.0","male,group D,some college,free/reduced,none,62.0,57.0,62.0",,,nan/nan
932,"male,group D,associate's degree,free/reduced,completed,61.0,71.0,73.0","male,group D,associate's degree,free/reduced,completed,61.0,71.0,73.0",,,nan/nan
933,"male,group C,bachelor's degree,free/reduced,completed,70.0,75.0,74.0","male,group C,bachelor's degree,free/reduced,completed,70.0,75.0,74.0",,,nan/nan
934,",,associate's degree,standard,completed,98.0,87.0,90.0",",,associate's degree,standard,completed,98.0,87.0,90.0",,,nan/nan
935,"male,group D,some college,free/reduced,none,70.0,63.0,58.0","male,group D,some college,free/reduced,none,70.0,63.0,58.0",,,nan/nan
936,"male,group A,associate's degree,standard,none,67.0,57.0,53.0","male,group A,associate's degree,standard,none,67.0,57.0,53.0",,,nan/nan
937,"female,group E,high school,free/reduced,none,57.0,58.0,57.0","female,group E,high school,free/reduced,none,57.0,58.0,57.0",,,nan/nan
938,"male,group D,,standard,completed,85.0,81.0,85.0","male,group D,,standard,completed,85.0,81.0,85.0",,,nan/nan
939,"male,group D,some high school,standard,completed,,68.0,69.0","male,group D,some high school,standard,completed,,68.0,69.0",,,nan/nan
940,"male,group C,master's degree,free/reduced,completed,72.0,66.0,72.0","male,group C,master's degree,free/reduced,completed,72.0,66.0,72.0",,,nan/nan
941,"female,group D,master's degree,standard,none,78.0,91.0,96.0","female,group D,master's degree,standard,none,78.0,91.0,96.0",,,nan/nan
942,"male,group C,high school,standard,none,81.0,66.0,64.0","male,group C,high school,standard,none,81.0,66.0,64.0",,,nan/nan
943,"male,group A,some high school,free/reduced,,61.0,62.0,61.0","male,group A,some high school,free/reduced,,61.0,62.0,61.0",,,nan/nan
944,"female,group B,high school,standard,none,58.0,68.0,61.0","female,group B,high school,standard,none,58.0,68.0,61.0",,,nan/nan
945,"female,group C,associate's degree,standard,none,54.0,61.0,58.0","female,group C,associate's degree,standard,none,54.0,61.0,58.0",,,nan/nan
946,"male,group B,high school,standard,none,82.0,82.0,80.0","male,group B,high school,standard,none,82.0,82.0,80.0",,,nan/nan
947,"female,group D,some college,free/reduced,none,49.0,58.0,60.0","female,group D,some college,free/reduced,none,49.0,58.0,60.0",,,nan/nan
948,"male,group B,some high school,free/reduced,completed,49.0,50.0,","male,group B,some high school,free/reduced,completed,49.0,50.0,",,,nan/nan
949,"female,group E,high school,free/reduced,completed,57.0,75.0,73.0","female,group E,high school,free/reduced,completed,57.0,75.0,73.0",,,nan/nan
950,"male,group E,,standard,none,94.0,73.0,71.0","male,group E,,standard,none,94.0,73.0,71.0",,,nan/nan
951,"female,group D,some college,standard,completed,75.0,77.0,83.0","female,group D,some college,standard,completed,75.0,77.0,83.0",,,nan/nan
952,"female,group E,some high school,,none,74.0,74.0,72.0","female,group E,some high school,,none,74.0,74.0,72.0",,,nan/nan
953,"male,group C,high school,standard,,58.0,52.0,54.0","male,group C,high school,standard,,58.0,52.0,54.0",,,nan/nan
954,",group C,some college,standard,none,62.0,69.0,69.0",",group C,some college,standard,none,62.0,69.0,69.0",,,nan/nan
955,"male,group E,associate's degree,standard,none,72.0,57.0,62.0","male,group E,associate's degree,standard,none,72.0,57.0,62.0",,,nan/nan
956,"male,group C,some college,standard,none,,87.0,81.0","male,group C,some college,standard,none,,87.0,81.0",,,nan/nan
957,"female,group D,master's degree,standard,none,92.0,100.0,100.0","female,group D,master's degree,standard,none,92.0,100.0,100.0",,,nan/nan
958,"female,group D,high school,standard,none,45.0,63.0,59.0","female,group D,high school,standard,none,45.0,63.0,59.0",,,nan/nan
959,"male,group C,high school,standard,none,75.0,81.0,71.0","male,group C,high school,standard,none,75.0,81.0,71.0",,,nan/nan
960,"female,group A,some college,standard,none,56.0,58.0,64.0","female,group A,some college,standard,none,56.0,58.0,64.0",,,nan/nan
961,"female,group D,some high school,free/reduced,none,48.0,54.0,53.0","female,group D,some high school,free/reduced,none,48.0,54.0,53.0",,,nan/nan
962,"female,group E,associate's degree,standard,none,100.0,100.0,100.0","female,group E,associate's degree,standard,none,100.0,100.0,100.0",,,nan/nan
963,"female,group C,some high school,free/reduced,completed,65.0,76.0,75.0","female,group C,some high school,free/reduced,completed,65.0,76.0,75.0",,,nan/nan
964,"male,group D,some college,standard,none,72.0,57.0,58.0","male,group D,some college,standard,none,72.0,57.0,58.0",,,nan/nan
965,",group D,some college,standard,none,62.0,70.0,72.0",",group D,some college,standard,none,62.0,70.0,72.0",,,nan/nan
966,"male,group A,some high school,standard,completed,66.0,68.0,64.0","male,group A,some high school,standard,completed,66.0,68.0,64.0",,,nan/nan
967,"male,group C,some college,standard,none,63.0,63.0,60.0","male,group C,some college,standard,none,63.0,63.0,60.0",,,nan/nan
968,"female,group E,associate's degree,standard,none,68.0,76.0,67.0","female,group E,associate's degree,standard,none,68.0,76.0,67.0",,,nan/nan
969,"female,group B,bachelor's degree,standard,none,75.0,84.0,80.0","female,group B,bachelor's degree,standard,none,75.0,84.0,80.0",,,nan/nan
970,"female,group D,,standard,none,89.0,100.0,100.0","female,group D,,standard,none,89.0,100.0,100.0",,,nan/nan
971,"male,group C,some high school,standard,completed,78.0,72.0,69.0","male,group C,some high school,standard,completed,78.0,72.0,69.0",,,nan/nan
972,"female,group A,high school,free/reduced,completed,53.0,50.0,60.0","female,group A,high school,free/reduced,completed,53.0,50.0,60.0",,,nan/nan
973,"female,group D,some college,free/reduced,none,49.0,65.0,61.0","female,group D,some college,free/reduced,none,49.0,65.0,61.0",,,nan/nan
974,"female,group A,some college,standard,none,54.0,63.0,","female,group A,some college,standard,none,54.0,63.0,",,,nan/nan
975,"female,group C,some college,standard,completed,64.0,82.0,77.0","female,group C,some college,standard,completed,64.0,82.0,77.0",,,nan/nan
976,"male,,some college,,completed,,62.0,60.0","male,,some college,,completed,,62.0,60.0",,,nan/nan
977,"male,group C,associate's degree,standard,none,62.0,65.0,58.0","male,group C,associate's degree,standard,none,62.0,65.0,58.0",,,nan/nan
978,"male,group D,high school,standard,completed,55.0,41.0,48.0","male,group D,high school,standard,completed,55.0,41.0,48.0",,,nan/nan
979,"female,group C,associate's degree,standard,none,91.0,95.0,94.0","female,group C,associate's degree,standard,none,91.0,95.0,94.0",,,nan/nan
980,"female,group B,high school,free/reduced,none,8.0,24.0,23.0","female,group B,high school,free/reduced,none,8.0,24.0,23.0",,,nan/nan
981,"male,group D,some high school,standard,none,81.0,78.0,78.0","male,group D,some high school,standard,none,81.0,78.0,78.0",,,nan/nan
982,"male,group B,some high school,,completed,79.0,85.0,86.0","male,group B,some high school,,completed,79.0,85.0,86.0",,,nan/nan
983,"female,group A,some college,standard,completed,78.0,87.0,91.0","female,group A,some college,standard,completed,78.0,87.0,91.0",,,nan/nan
984,"female,group C,some high school,standard,none,74.0,75.0,82.0","female,group C,some high school,standard,none,74.0,75.0,82.0",,,nan/nan
985,"male,group A,high school,standard,none,57.0,51.0,54.0","male,group A,high school,standard,none,57.0,51.0,54.0",,,nan/nan
986,"female,group C,associate's degree,standard,none,40.0,59.0,51.0","female,group C,associate's degree,standard,none,40.0,59.0,51.0",,,nan/nan
987,"male,group E,some high school,standard,completed,81.0,75.0,76.0","male,group E,some high school,standard,completed,81.0,75.0,76.0",,,nan/nan
988,",group A,some high school,free/reduced,none,44.0,45.0,45.0",",group A,some high school,free/reduced,none,44.0,45.0,45.0",,,nan/nan
989,"female,group D,some college,free/reduced,completed,67.0,86.0,83.0","female,group D,some college,free/reduced,completed,67.0,86.0,83.0",,,nan/nan
990,"male,group E,high school,free/reduced,completed,,81.0,75.0","male,group E,high school,free/reduced,completed,,81.0,75.0",,,nan/nan
991,"female,group B,some high school,standard,completed,65.0,82.0,78.0","female,group B,some high school,standard,completed,65.0,82.0,78.0",,,nan/nan
992,"female,group D,associate's degree,,none,55.0,76.0,76.0","female,group D,associate's degree,,none,55.0,76.0,76.0",,,nan/nan
993,"female,group D,bachelor's degree,free/reduced,none,62.0,72.0,74.0","female,group D,bachelor's degree,free/reduced,none,62.0,72.0,74.0",,,nan/nan
994,"male,group A,high school,standard,none,63.0,63.0,62.0","male,group A,high school,standard,none,63.0,63.0,62.0",,,nan/nan
995,"female,group E,master's degree,standard,completed,88.0,99.0,95.0","female,group E,master's degree,standard,completed,88.0,99.0,95.0",,,nan/nan
996,"male,,high school,free/reduced,,62.0,55.0,55.0","male,,high school,free/reduced,,62.0,55.0,55.0",,,nan/nan
997,"female,group C,high school,free/reduced,completed,59.0,71.0,65.0","female,group C,high school,free/reduced,completed,59.0,71.0,65.0",,,nan/nan
998,"female,group D,some college,standard,completed,68.0,78.0,77.0","female,group D,some college,standard,completed,68.0,78.0,77.0",,,nan/nan
999,"female,group D,some college,free/reduced,none,77.0,86.0,86.0","female,group D,some college,free/reduced,none,77.0,86.0,86.0",,,nan/nan
average annual,,,,,
